"","country","date","E","C","TR","Y","URB"
"4505","Trinidad and Tobago",2009,13396.5619248197,13.5905811556026,NA,16386.2440774219,54.213
"4506","Trinidad and Tobago",2010,14228.5818012673,15.213685637625,NA,16821.4890231196,54.025
"4507","Trinidad and Tobago",2011,13903.5612174476,15.6723848959874,NA,16657.1232564156,53.836
"4508","Trinidad and Tobago",2012,13456.2769116114,15.0442156158831,NA,17629.5965401115,53.671
"4509","Tunisia",1990,586.127786618591,1.72221094658154,94.161265567647,2085.56428752013,57.946
"4510","Tunisia",1991,568.149891920922,1.74312376657702,85.6860202181431,2121.04936035758,58.756
"4511","Tunisia",1992,618.899658507658,1.83008540716657,86.0000875541741,2239.93590218899,59.562
"4512","Tunisia",1993,590.681609901023,1.82840410895501,88.4109677419355,2244.45899378325,60.362
"4513","Tunisia",1994,626.813258157126,1.79575049755877,92.8043860425704,2273.76035127402,61.078
"4514","Tunisia",1995,624.516817224515,1.80548911557028,93.7144465686907,2289.43123956091,61.474
"4515","Tunisia",1996,643.342434958725,1.83608591227447,85.7203547620671,2417.54355750557,61.87
"4516","Tunisia",1997,654.706637868296,1.87022360866579,80.5007104439621,2515.10400981318,62.262
"4517","Tunisia",1998,704.796495827076,1.9282334009979,79.9794582620079,2602.95834733372,62.653
"4518","Tunisia",1999,720.257329664785,2.00901771514233,77.9051139411665,2729.27514189013,63.043
"4519","Tunisia",2000,738.469285727859,2.09202859789377,82.639110670191,2827.4206101187,63.432
"4520","Tunisia",2001,771.488855114639,2.1583826432151,89.5522011944661,2904.86471655664,63.818
"4521","Tunisia",2002,774.044359135578,2.15021732990667,85.3421759692656,2914.28995603757,64.202
"4522","Tunisia",2003,787.496966292642,2.10873317285667,82.390340709916,3021.62668834454,64.585
"4523","Tunisia",2004,822.245238517425,2.18422158473994,86.9253446966283,3179.35054154418,64.95
"4524","Tunisia",2005,800.360962247688,2.21132453834798,90.2512478803945,3259.75720191466,65.237
"4525","Tunisia",2006,834.804843927987,2.27943604642622,93.9409304094309,3399.54372593612,65.524
"4526","Tunisia",2007,854.296744119667,2.33877846715553,104.059400976647,3594.43490159065,65.809
"4527","Tunisia",2008,882.63881996708,2.36426981062472,114.343660218696,3711.68369332692,66.093
"4528","Tunisia",2009,849.16589580754,2.34538370981178,93.0168787876722,3787.72010605793,66.376
"4529","Tunisia",2010,943.705511386212,2.52573114997132,100.151009836799,3860.67994491045,66.657
"4530","Tunisia",2011,889.502387848007,2.38785707138019,100.106379304237,3734.54650514638,66.938
"4531","Tunisia",2012,916.751376787425,2.48668763188088,101.550723929668,3842.61239643775,67.218
"4532","Turkiye",1990,970.421530081414,2.56235800281945,30.9429955004348,5315.14099311897,59.203
"4533","Turkiye",1991,939.522015187965,2.59929598020808,30.4760116733895,5256.94233596845,59.976
"4534","Turkiye",1992,952.481346278821,2.66060000635501,31.737365644504,5425.46720512184,60.518
"4535","Turkiye",1993,992.880935090626,2.71536369514609,33.0170877754618,5739.26165166661,61.055
"4536","Turkiye",1994,963.994217482708,2.63801155354432,41.7458523409412,5376.17696444811,61.59
